;name;year;s;sdate;e;edate;dur
56;о.Визе;2006.0;2006-05-31 00:00:00;151.0;2006-10-18 00:00:00;291.0;140.0
57;о.Визе;2007.0;2007-07-04 00:00:00;185.0;2007-10-31 00:00:00;304.0;119.0
58;о.Визе;2008.0;2008-07-02 00:00:00;184.0;2008-10-06 00:00:00;280.0;96.0
59;о.Визе;2009.0;2009-06-10 00:00:00;161.0;2009-10-20 00:00:00;293.0;132.0
60;о.Визе;2010.0;2010-06-15 00:00:00;166.0;2010-11-02 00:00:00;306.0;140.0
61;о.Визе;2011.0;2011-05-24 00:00:00;144.0;2011-10-25 00:00:00;298.0;154.0
62;о.Визе;2012.0;2012-06-05 00:00:00;157.0;2012-10-16 00:00:00;290.0;133.0
63;о.Визе;2013.0;2013-06-04 00:00:00;155.0;2013-10-08 00:00:00;281.0;126.0
64;о.Визе;2014.0;2014-06-24 00:00:00;175.0;2014-07-08 00:00:00;189.0;14.0
65;о.Визе;2015.0;-99;-99.0;-99;-99.0;-99.0
66;о.Визе;2016.0;-99;-99.0;-99;-99.0;-99.0
67;о.Визе;2017.0;-99;-99.0;-99;-99.0;-99.0
68;о.Визе;2018.0;2018-07-13 00:00:00;194.0;2018-08-17 00:00:00;229.0;35.0
69;о.Визе;2019.0;-99;-99.0;-99;-99.0;-99.0
70;о.Визе;2020.0;2020-06-16 00:00:00;168.0;2020-12-01 00:00:00;336.0;168.0
71;о.Визе;2021.0;2021-07-06 00:00:00;187.0;2021-09-21 00:00:00;264.0;77.0
72;о.Голомянный;1998.0;1998-05-08 00:00:00;128.0;1998-09-02 00:00:00;245.0;117.0
73;о.Голомянный;1999.0;-99;-99.0;-99;-99.0;-99.0
74;о.Голомянный;2000.0;2000-06-14 00:00:00;166.0;2000-06-14 00:00:00;166.0;0.0
75;о.Голомянный;2001.0;-99;-99.0;-99;-99.0;-99.0
76;о.Голомянный;2002.0;2002-06-05 00:00:00;156.0;2002-10-16 00:00:00;289.0;133.0
77;о.Голомянный;2003.0;2003-06-17 00:00:00;168.0;2003-12-17 00:00:00;351.0;183.0
78;о.Голомянный;2004.0;2004-07-28 00:00:00;210.0;2004-09-01 00:00:00;245.0;35.0
79;о.Голомянный;2005.0;2005-08-10 00:00:00;222.0;2005-11-23 00:00:00;327.0;105.0
80;о.Голомянный;2006.0;-99;-99.0;-99;-99.0;-99.0
81;о.Голомянный;2007.0;2007-05-09 00:00:00;129.0;2007-09-12 00:00:00;255.0;126.0
82;о.Голомянный;2008.0;2008-06-25 00:00:00;177.0;2008-09-24 00:00:00;268.0;91.0
83;о.Голомянный;2009.0;2009-07-15 00:00:00;196.0;2009-10-13 00:00:00;286.0;90.0
84;о.Голомянный;2010.0;2010-06-08 00:00:00;159.0;2010-11-16 00:00:00;320.0;161.0
85;о.Голомянный;2011.0;2011-12-27 00:00:00;361.0;2011-12-27 00:00:00;361.0;0.0
86;о.Голомянный;2012.0;2012-12-31 00:00:00;366.0;2012-12-31 00:00:00;366.0;0.0
87;о.Голомянный;2013.0;-99;-99.0;-99;-99.0;-99.0
88;о.Голомянный;2014.0;-99;-99.0;-99;-99.0;-99.0
89;о.Голомянный;2015.0;2015-06-23 00:00:00;174.0;2015-09-22 00:00:00;265.0;91.0
90;о.Голомянный;2016.0;2016-09-20 00:00:00;264.0;2016-09-20 00:00:00;264.0;0.0
91;о.Голомянный;2017.0;-99;-99.0;-99;-99.0;-99.0
92;о.Голомянный;2018.0;2018-09-04 00:00:00;247.0;2018-10-09 00:00:00;282.0;35.0
93;о.Голомянный;2019.0;2019-06-04 00:00:00;155.0;2019-09-17 00:00:00;260.0;105.0
94;о.Голомянный;2020.0;2020-05-26 00:00:00;147.0;2020-10-06 00:00:00;280.0;133.0
95;о.Голомянный;2021.0;-99;-99.0;-99;-99.0;-99.0
96;м.Челюскин;1998.0;1998-05-08 00:00:00;128.0;1998-09-02 00:00:00;245.0;117.0
97;м.Челюскин;1999.0;-99;-99.0;-99;-99.0;-99.0
98;м.Челюскин;2000.0;2000-06-14 00:00:00;166.0;2000-06-14 00:00:00;166.0;0.0
99;м.Челюскин;2001.0;-99;-99.0;-99;-99.0;-99.0
100;м.Челюскин;2002.0;2002-06-05 00:00:00;156.0;2002-10-16 00:00:00;289.0;133.0
101;м.Челюскин;2003.0;2003-06-17 00:00:00;168.0;2003-12-17 00:00:00;351.0;183.0
102;м.Челюскин;2004.0;2004-07-28 00:00:00;210.0;2004-09-01 00:00:00;245.0;35.0
